date,user_type,app_ver,ipu,ad_require,avg_require,ad_click,avg_click,tianchong_rate,ad_expose,ctr
20260118,新用户,20.11.10115,3.2899628252788102,0,0.0,5,0.01858736059479554,,885,0.005649717514124294
20260116,大盘用户,20.11.10115,3.6112930592274,0,0.0,5655,0.055784634810401294,,366084,0.015447274396040253
20260118,新用户,20.11.1010115,3.0095238095238095,0,0.0,5,0.015873015873015872,,948,0.005274261603375527
20260118,大盘用户,20.11.1010115,4.228606594545572,0,0.0,30350,0.07021627074098409,,1827756,0.016605061069420644
20260117,大盘用户,20.11.10115,4.0430864545198535,0,0.0,19253,0.06612015852628253,,1177274,0.016353881934027252
20260116,大盘用户,20.11.1010115,3.631569119884979,0,0.0,5725,0.05344922556973607,,388981,0.014717942521614166
20260117,老用户,20.11.1010115,4.115019243742117,0,0.0,20276,0.06607724219740396,,1262706,0.01605757793183845
20260116,新用户,20.11.10115,3.1337579617834397,0,0.0,3,0.01910828025477707,,492,0.006097560975609756
20260116,新用户,20.11.1010115,5.28140703517588,0,0.0,3,0.01507537688442211,,1051,0.0028544243577545195
20260116,老用户,20.11.1010115,3.6284982041305,0,0.0,5722,0.05352065249925172,,387930,0.014750083778001185
20260117,大盘用户,20.11.1010115,4.114442845327794,0,0.0,20282,0.0660406233515893,,1263603,0.01605092738779506
20260117,新用户,20.11.10115,3.9357142857142855,0,0.0,6,0.02142857142857143,,1102,0.0054446460980036296
20260117,新用户,20.11.1010115,3.4367816091954024,0,0.0,6,0.022988505747126436,,897,0.006688963210702341
20260118,老用户,20.11.10115,4.210748672890353,0,0.0,29173,0.07120141558362317,,1725249,0.016909443216602357
20260118,大盘用户,20.11.10115,4.2101445387005665,0,0.0,29178,0.07116689512529452,,1726134,0.01690367028284015
20260116,老用户,20.11.10115,3.612033789458084,0,0.0,5652,0.055841525465593046,,365592,0.015459856889647476
20260117,老用户,20.11.10115,4.043189802751442,0,0.0,19247,0.06616317522739616,,1176172,0.016364103209394545
20260118,老用户,20.11.1010115,4.229495671662179,0,0.0,30345,0.07025590327860883,,1826808,0.016610941051276324
