date,user_type,app_ver,e2e_ret,e2v_ret,v2v_ret
20260116,大盘用户,20.11.1010115,1.0,0.3969813276728085,1.0
20260116,大盘用户,20.11.10115,1.0,0.4004826690004508,1.0
20260116,新用户,20.11.1010115,1.0,0.28370786516853935,1.0
20260116,新用户,20.11.10115,1.0,0.30254777070063693,1.0
20260116,老用户,20.11.1010115,1.0,0.39798548252549276,1.0
20260116,老用户,20.11.10115,1.0,0.401305057096248,1.0
20260117,大盘用户,20.11.1010115,1.0,0.3773824916416649,1.0
20260117,大盘用户,20.11.10115,1.0,0.3777899426323262,1.0
20260117,新用户,20.11.1010115,1.0,0.29372384937238494,1.0
20260117,新用户,20.11.10115,1.0,0.26982758620689656,1.0
20260117,老用户,20.11.1010115,1.0,0.37780291688394707,1.0
20260117,老用户,20.11.10115,1.0,0.37835020645905937,1.0
20260118,大盘用户,20.11.1010115,1.0,0.3717156719781531,1.0
20260118,大盘用户,20.11.10115,1.0,0.3702554047196938,1.0
20260118,新用户,20.11.1010115,1.0,0.2900976290097629,1.0
20260118,新用户,20.11.10115,1.0,0.24175824175824176,1.0
20260118,老用户,20.11.1010115,1.0,0.3720619255130629,1.0
20260118,老用户,20.11.10115,1.0,0.3707702274328268,1.0
